cccd,sobaodanh,d_phuongthuc,TO,LI,HO,SI,SU,DI,VA,N1_THI,N1_CC,CNCN,CNNN,TI,KTPL,NL1,NK1,NK2,NK3,NK4,NK5,NK6
TS_0001,TS_0001,PT1,3.35,5.75,0,0,0,0,5.25,4,4,0,0,0,0,0,0,0,0,0,0,0
TS_0002,TS_0002,PT1,4.6,0,0,0,7.6,9,7.75,0,0,0,0,0,0,0,8.5,7.5,0,0,0,0
TS_0003,TS_0003,PT1,9,0,0,0,0,0,8.75,7.6,7.6,0,0,0,0,0,0,0,0,0,0,0
TS_0004,TS_0004,PT1,7,7.75,0,0,0,0,8.25,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0
TS_0005,TS_0005,PT1,4.75,0,0,0,6.1,0,8.75,5,5,0,0,0,0,0,0,0,0,0,0,0
TS_0006,TS_0006,PT1,7,7.25,7.35,0,0,0,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0007,TS_0007,PT1,6.75,0,0,0,7.25,0,7.75,4.75,4.75,0,0,0,0,0,0,0,0,0,0,0
TS_0008,TS_0008,PT1,6.25,8.25,9.5,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0009,TS_0009,PT1,3.5,3.05,0,0,0,0,8,3.75,3.75,0,0,0,0,0,0,0,0,0,0,0
TS_0010,TS_0010,PT1,3.85,5.35,0,0,8,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0011,TS_0011,PT1,7,6.5,0,0,0,0,8.5,4.75,4.75,0,0,0,0,0,0,0,0,0,0,0
TS_0012,TS_0012,PT1,5.5,8,0,0,0,0,8.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0
TS_0013,TS_0013,PT1,4.25,0,0,0,8.5,8.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0014,TS_0014,PT1,5.1,7.5,0,0,6.75,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0015,TS_0015,PT1,0,0,0,0,9.75,9.75,7.75,0,0,0,0,0,0,0,8.25,6.5,0,0,0,0
TS_0016,TS_0016,PT1,5.5,0,0,0,7,8.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0017,TS_0017,PT1,3.45,0,0,0,8.5,8.75,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0018,TS_0018,PT1,4.5,6.5,0,0,0,0,8,3.25,3.25,0,0,0,0,0,0,0,0,0,0,0
TS_0019,TS_0019,PT1,5.5,0,0,0,0,0,8.5,5,5,0,0,0,9.25,0,0,0,0,0,0,0
TS_0020,TS_0020,PT1,4.6,0,0,0,0,0,8.25,7,7,0,0,0,8.25,0,0,0,0,0,0,0
TS_0021,TS_0021,PT1,6.1,8,5.5,0,0,0,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0022,TS_0022,PT1,4,4.35,0,0,0,0,8.25,0,0,0,0,0,8,0,0,0,0,0,0,0
TS_0023,TS_0023,PT1,5.35,0,0,0,7.6,0,8,5,5,0,0,0,0,0,0,0,7.5,6.5,0,0
TS_0024,TS_0024,PT1,6.75,5.75,0,0,0,0,7.25,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
TS_0025,TS_0025,PT1,4.5,0,0,0,6.25,5.45,6.5,0,0,0,0,0,0,0,7.38,7,0,0,0,0
TS_0026,TS_0026,PT1,4.85,0,7.35,0,0,0,7.75,9,9,0,0,0,0,0,0,0,0,0,0,0
TS_0027,TS_0027,PT1,4.75,0,0,0,9.5,8.75,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0028,TS_0028,PT1,5.25,5.75,0,0,0,0,8.75,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
TS_0029,TS_0029,PT1,5.85,7.75,0,0,0,0,8,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0
TS_0030,TS_0030,PT1,5.5,0,8,0,0,0,6.75,5,5,0,0,0,0,0,0,0,0,0,0,0
TS_0031,TS_0031,PT1,4.5,0,0,0,8,6.75,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0032,TS_0032,PT1,5.5,6.6,0,0,0,0,5,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0
TS_0033,TS_0033,PT1,5.35,7.5,0,0,0,0,7.25,5,5,0,0,0,0,0,0,0,0,0,0,0
TS_0034,TS_0034,PT1,6,0,0,0,9.25,9,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0035,TS_0035,PT1,5,0,0,0,7.75,0,7.17,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0
TS_0036,TS_0036,PT1,6,6.5,3.35,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0037,TS_0037,PT1,4.25,6.5,5.75,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0038,TS_0038,PT1,4.1,0,0,0,9.25,9,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0039,TS_0039,PT1,1.7,0,0,0,7.5,8,8.25,0,0,0,0,0,0,0,8.38,7.5,0,0,0,0
TS_0040,TS_0040,PT1,3.75,0,0,0,8,6,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0041,TS_0041,PT1,6,5.25,5.75,0,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0042,TS_0042,PT1,5.25,7.25,0,0,0,0,7.75,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
TS_0043,TS_0043,PT1,6,7.25,0,0,0,0,7.25,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0
TS_0044,TS_0044,PT1,4.5,0,0,0,8,0,6.75,0,0,0,0,0,8.5,0,0,0,0,0,0,0
TS_0045,TS_0045,PT1,4.6,0,0,0,9,0,8.5,0,0,0,0,0,9,0,0,0,0,0,0,0
TS_0046,TS_0046,PT1,6.6,7.75,7.25,0,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0047,TS_0047,PT1,5.75,0,0,0,0,0,9,4.5,4.5,0,0,0,9.25,0,0,0,0,0,0,0
TS_0048,TS_0048,PT1,6.25,6,0,0,6.75,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0049,TS_0049,PT1,0,0,0,0,9.75,9.75,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0050,TS_0050,PT1,4.35,0,0,0,0,0,6.75,6.5,6.5,0,0,0,8,0,0,0,0,0,0,0
TS_0051,TS_0051,PT1,4.75,5.35,0,0,0,0,6.5,4.5,4.5,0,0,0,0,0,9,8,0,0,0,0
TS_0052,TS_0052,PT1,8.5,9,0,0,0,0,8.5,8.25,8.25,0,0,0,0,0,0,0,0,0,0,0
TS_0053,TS_0053,PT1,3.75,0,0,0,8,9,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0054,TS_0054,PT1,3,0,0,0,6.25,6,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0055,TS_0055,PT1,4.85,0,0,0,6.25,7.35,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0056,TS_0056,PT1,5.1,0,0,0,7.35,8,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0057,TS_0057,PT1,3.75,0,0,0,0,0,7,8.5,8.5,0,0,0,8.5,0,0,0,0,0,0,0
TS_0058,TS_0058,PT1,4.75,5.5,5.1,0,0,0,7.5,0,0,0,0,0,0,0,6.63,8,0,0,0,0
TS_0059,TS_0059,PT1,6.75,0,5.45,0,0,0,8.5,8.5,8.5,0,0,0,0,0,0,0,0,0,0,0
TS_0060,TS_0060,PT1,8,9,7.5,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0061,TS_0061,PT1,6,7.5,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0062,TS_0062,PT1,4.5,0,0,0,7.75,0,8.75,5,5,0,0,0,0,0,0,0,0,0,0,0
TS_0063,TS_0063,PT1,8,8,0,0,0,0,4.5,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0
TS_0064,TS_0064,PT1,5.35,0,5.25,0,0,0,8,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0
TS_0065,TS_0065,PT1,6.75,7.75,4.35,0,0,0,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0066,TS_0066,PT1,6,0,0,0,7.5,0,6.5,0,0,0,0,0,9,0,0,0,0,0,0,0
TS_0067,TS_0067,PT1,5.35,5.5,0,0,0,0,6.75,3.25,3.25,0,0,0,0,0,0,0,0,0,0,0
TS_0068,TS_0068,PT1,6.1,7.75,5.85,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0069,TS_0069,PT1,5.25,7.25,0,0,0,0,8,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0
TS_0070,TS_0070,PT1,5.1,0,0,0,0,7,7.5,0,0,0,0,0,7.75,0,0,0,0,0,0,0
TS_0071,TS_0071,PT1,4.25,0,0,0,8.5,9,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0072,TS_0072,PT1,7.25,9.25,0,0,0,0,7.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0
TS_0073,TS_0073,PT1,4.25,0,3.6,3.2,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0074,TS_0074,PT1,7.25,0,7.25,7.75,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0075,TS_0075,PT1,7,0,0,0,0,0,6.5,5.25,5.25,0,0,0,8,0,0,0,0,0,0,0
TS_0076,TS_0076,PT1,5.75,6.75,0,0,0,0,6.75,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
TS_0077,TS_0077,PT1,7.25,0,6,6,0,0,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0078,TS_0078,PT1,9,0,7,0,0,0,7.5,8,8,0,0,0,0,0,0,0,0,0,0,0
TS_0079,TS_0079,PT1,8,9,9.5,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0080,TS_0080,PT1,6.25,7.25,0,0,0,0,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0
TS_0081,TS_0081,PT1,7,8.5,8.25,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0082,TS_0082,PT1,8,0,6.5,0,0,0,8.25,4.25,4.25,0,0,0,0,0,0,0,0,0,0,0
TS_0083,TS_0083,PT1,3.75,5.1,5.6,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0084,TS_0084,PT1,4.5,0,0,0,6.25,0,7,0,0,0,0,0,9.25,0,0,0,0,0,0,0
TS_0085,TS_0085,PT1,3.45,0,0,0,7.75,9.75,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0086,TS_0086,PT1,7.5,0,8.5,0,0,0,7.75,7.25,7.25,0,0,0,0,0,0,0,0,0,0,0
TS_0087,TS_0087,PT1,3.75,0,0,0,7.5,4.75,8,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0088,TS_0088,PT1,5.2,5.1,0,0,0,0,6.75,4,4,0,0,0,0,0,0,0,0,0,0,0
TS_0089,TS_0089,PT1,7.25,8.35,0,0,0,0,8,4.75,4.75,0,0,0,0,0,0,0,0,0,0,0
TS_0090,TS_0090,PT1,5.35,0,0,0,0,0,7.75,6.75,6.75,0,0,0,8.75,0,0,0,0,0,0,0
TS_0091,TS_0091,PT1,4.25,5,0,0,0,0,7,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0
TS_0092,TS_0092,PT1,3.75,6.75,0,0,0,0,5.75,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0
TS_0093,TS_0093,PT1,6.25,0,0,0,0,9.75,7.5,0,0,0,0,0,7.5,0,0,0,0,0,0,0
TS_0094,TS_0094,PT1,6.75,0,0,0,7.5,0,8.25,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
TS_0095,TS_0095,PT1,7.5,9.5,0,0,0,0,6,8,8,0,0,0,0,0,0,0,0,0,0,0
TS_0096,TS_0096,PT1,6.75,0,4.6,0,0,0,7.75,3,3,0,0,0,0,0,0,0,0,0,0,0
TS_0097,TS_0097,PT1,4.1,7,4.6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0098,TS_0098,PT1,4.35,6.5,0,0,0,0,6.5,7.25,7.25,0,0,0,0,0,0,0,0,0,0,0
TS_0099,TS_0099,PT1,6,8.25,0,0,0,0,8.25,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
TS_0100,TS_0100,PT1,5.5,0,0,0,0,7.5,7.75,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0
TS_0101,TS_0101,PT1,5.5,9,8.75,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0102,TS_0102,PT1,8.5,8.5,0,0,0,0,8,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0
TS_0103,TS_0103,PT1,6.25,7,0,0,0,0,7.75,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0
TS_0104,TS_0104,PT1,6.1,0,0,0,0,0,9,5,5,0,0,0,9.5,0,0,0,0,0,0,0
TS_0105,TS_0105,PT1,3.25,0,0,0,7.5,0,7.75,3.75,3.75,0,0,0,0,0,0,0,0,0,0,0
TS_0106,TS_0106,PT1,3.75,0,0,0,8.75,0,7.66,0,0,0,8.75,0,0,0,0,0,0,0,0,0
TS_0107,TS_0107,PT1,4.25,5.1,0,0,0,0,5.75,0,0,0,0,0,7.5,0,0,0,0,0,0,0
TS_0108,TS_0108,PT1,7.75,7.85,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0
TS_0109,TS_0109,PT1,3.5,0,0,0,7.25,0,8.25,0,0,0,0,0,9.5,0,0,0,0,0,0,0
TS_0110,TS_0110,PT1,7.5,8,0,0,0,0,7.75,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
TS_0111,TS_0111,PT1,4.85,0,0,0,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0112,TS_0112,PT1,6.25,0,6.5,0,0,0,8.75,8,8,0,0,0,0,0,0,0,0,0,0,0
TS_0113,TS_0113,PT1,2.45,0,0,0,0,6.25,8.5,0,0,0,9.25,0,0,0,0,0,0,0,0,0
TS_0114,TS_0114,PT1,8.5,9.75,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0115,TS_0115,PT1,4.75,0,0,0,9,8.5,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0116,TS_0116,PT1,4.5,0,0,0,0,7.35,7,4,4,0,0,0,0,0,7.5,7,0,0,0,0
TS_0117,TS_0117,PT1,6.35,0,0,0,0,8.75,7.75,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
TS_0118,TS_0118,PT1,4.6,5.5,3.85,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0119,TS_0119,PT1,2.6,5.75,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0120,TS_0120,PT1,7.5,0,9,0,0,0,8,7.25,7.25,0,0,0,0,0,0,0,0,0,0,0
TS_0121,TS_0121,PT1,5.2,5.25,0,0,0,0,7.5,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
TS_0122,TS_0122,PT1,7.1,6.5,0,0,0,0,8.25,7,7,0,0,0,0,0,0,0,0,0,0,0
TS_0123,TS_0123,PT1,5.5,0,0,0,0,0,7.25,4.75,4.75,0,0,0,8.25,0,0,0,0,0,0,0
TS_0124,TS_0124,PT1,5.25,0,0,0,0,0,7.5,4.25,4.25,0,0,0,8,0,0,0,0,0,0,0
TS_0125,TS_0125,PT1,7.5,9,8.25,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0126,TS_0126,PT1,0,0,0,0,9.5,9.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0127,TS_0127,PT1,4.75,0,0,0,0,0,8.5,4.75,4.75,0,0,0,9,0,0,0,0,0,0,0
TS_0128,TS_0128,PT1,6.25,9.25,0,0,0,0,9,8.25,8.25,0,0,0,0,0,0,0,0,0,0,0
TS_0129,TS_0129,PT1,4.1,0,0,0,7.5,0,8.75,5,5,0,0,0,0,0,0,0,0,0,0,0
TS_0130,TS_0130,PT1,3.85,0,0,0,8.5,0,6.5,4.25,4.25,0,0,0,0,0,0,0,0,0,0,0
TS_0131,TS_0131,PT1,6,0,0,0,7.25,0,8.5,6,6,0,0,0,0,0,0,0,0,0,0,0
TS_0132,TS_0132,PT1,5.75,0,0,0,0,0,8.5,0,0,0,0,0,8,0,0,0,0,0,0,0
TS_0133,TS_0133,PT1,8,8.5,6.75,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0134,TS_0134,PT1,8,8,0,0,0,0,8.25,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0
TS_0135,TS_0135,PT1,4.85,0,0,0,9.25,9.25,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0136,TS_0136,PT1,9,7.75,0,0,0,0,5.5,6.75,6.75,0,0,0,0,0,0,0,0,0,0,0
TS_0137,TS_0137,PT1,6.5,0,0,0,0,0,7.5,5,5,0,0,0,8.75,0,0,0,0,0,0,0
TS_0138,TS_0138,PT1,4.25,6,0,0,0,0,4,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0
TS_0139,TS_0139,PT1,4.75,0,0,0,0,6.5,7.75,0,0,0,0,0,8.25,0,0,0,0,0,0,0
TS_0140,TS_0140,PT1,8.5,9.25,0,0,0,0,8,3,3,0,0,0,0,0,0,0,0,0,0,0
TS_0141,TS_0141,PT1,3.6,0,0,0,0,0,6.5,3.75,3.75,0,0,0,8.5,0,0,0,0,0,0,0
TS_0142,TS_0142,PT1,5.25,0,5.5,0,0,0,9,7,7,0,0,0,0,0,0,0,0,0,0,0
TS_0143,TS_0143,PT1,5.35,0,0,0,0,8,6.25,4.75,4.75,0,0,0,0,0,0,0,0,0,0,0
TS_0144,TS_0144,PT1,4.75,0,0,0,8.75,9.5,9.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0145,TS_0145,PT1,6.25,4.75,0,0,0,0,8.25,4.75,4.75,0,0,0,0,0,0,0,0,0,0,0
TS_0146,TS_0146,PT1,4.35,0,0,0,5.1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0147,TS_0147,PT1,6.75,7.25,0,0,0,0,6.5,4.75,4.75,0,0,0,0,0,0,0,0,0,0,0
TS_0148,TS_0148,PT1,6.75,6.75,0,0,0,0,6.75,8.25,8.25,0,0,0,0,0,0,0,0,0,0,0
TS_0149,TS_0149,PT1,5.1,0,0,0,0,6.6,6.25,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0
TS_0150,TS_0150,PT1,4.7,0,0,0,0,0,7.25,4.5,4.5,0,0,0,9,0,0,0,0,0,0,0
TS_0151,TS_0151,PT1,6.5,0,0,0,0,0,6.5,8.75,8.75,0,0,0,8.5,0,0,0,0,0,0,0
TS_0152,TS_0152,PT1,5,0,0,0,0,0,8.25,5.75,5.75,0,0,0,8.25,0,0,0,0,0,0,0
TS_0153,TS_0153,PT1,5.25,6.75,0,0,0,0,6.5,5,5,0,0,0,0,0,0,0,0,0,0,0
TS_0154,TS_0154,PT1,2.7,0,0,0,0,7,7.75,0,0,0,0,0,7.5,0,0,0,0,0,0,0
TS_0155,TS_0155,PT1,6.25,0,0,0,0,8.5,7.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0
TS_0156,TS_0156,PT1,6,0,0,0,0,9,8.25,7.25,7.25,0,0,0,0,0,0,0,0,0,0,0
TS_0157,TS_0157,PT1,4.85,0,0,0,9.5,9.25,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0158,TS_0158,PT1,6,0,5.35,0,0,0,6.75,0,0,0,0,0,9,0,0,0,0,0,0,0
TS_0159,TS_0159,PT1,7.6,0,0,0,0,0,8.5,7.5,7.5,0,0,0,9.5,0,0,0,0,0,0,0
TS_0160,TS_0160,PT1,4.35,0,0,0,0,0,8.5,5,5,0,0,0,8.75,0,0,0,0,0,0,0
TS_0161,TS_0161,PT1,4.85,4,0,0,0,0,8,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
TS_0162,TS_0162,PT1,7.5,7.25,0,0,0,0,6.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0
TS_0163,TS_0163,PT1,5.5,7.75,5.5,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0164,TS_0164,PT1,7.25,8.5,8,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0165,TS_0165,PT1,5.5,0,7,0,0,0,8,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0
TS_0166,TS_0166,PT1,3,0,0,0,7.75,8.25,9,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0167,TS_0167,PT1,7.5,8.75,7.25,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0168,TS_0168,PT1,4.75,0,0,0,0,6.35,7.75,0,0,0,0,0,7.75,0,0,0,0,0,0,0
TS_0169,TS_0169,PT1,5.1,6.85,0,0,0,8.75,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0170,TS_0170,PT1,7,0,0,0,8.75,0,8.75,6.75,6.75,0,0,0,0,0,0,0,0,0,0,0
TS_0171,TS_0171,PT1,6.25,0,7.5,0,0,0,6.5,5,5,0,0,0,0,0,0,0,0,0,0,0
TS_0172,TS_0172,PT1,1.25,0,0,0,3.75,0,6.5,0,0,0,0,0,7.25,0,0,0,0,0,0,0
TS_0173,TS_0173,PT1,5.25,0,0,0,8.25,10,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0174,TS_0174,PT1,4.85,0,0,0,6.25,0,6.25,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0
TS_0175,TS_0175,PT1,6,0,0,0,0,0,8.25,4.5,4.5,0,0,0,8.5,0,0,0,0,0,0,0
TS_0176,TS_0176,PT1,5.25,6.75,0,0,0,0,8,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0
TS_0177,TS_0177,PT1,5.75,5.25,0,0,5.5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0178,TS_0178,PT1,8.4,0,0,0,8,8.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0179,TS_0179,PT1,6,7,0,0,0,0,8,7.25,7.25,0,0,0,0,0,0,0,0,0,0,0
TS_0180,TS_0180,PT1,7,8.25,0,0,7.75,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0181,TS_0181,PT1,6.25,5.5,0,0,0,0,8.75,4.75,4.75,0,0,0,0,0,0,0,0,0,0,0
TS_0182,TS_0182,PT1,6.5,0,0,0,7.85,0,6.67,4.25,4.25,0,0,0,0,0,0,0,0,0,0,0
TS_0183,TS_0183,PT1,8,9.5,0,0,0,0,7.5,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0
TS_0184,TS_0184,PT1,5.25,0,0,0,7.25,0,8,0,0,0,0,0,8.25,0,0,0,0,0,0,0
TS_0185,TS_0185,PT1,4.1,0,0,0,0,8.5,8,0,0,0,0,0,8.75,0,0,0,0,0,0,0
TS_0186,TS_0186,PT1,4.75,0,0,0,7.5,0,7,0,0,0,0,0,8.75,0,0,0,0,0,0,0
TS_0187,TS_0187,PT1,7.5,8.25,0,0,0,0,7.75,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
TS_0188,TS_0188,PT1,7.5,6.6,0,0,0,0,7.25,7,7,0,0,0,0,0,0,0,0,0,0,0
TS_0189,TS_0189,PT1,5.35,0,0,0,0,0,7.75,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0
TS_0190,TS_0190,PT1,4.75,0,0,0,0,9,7.75,0,0,0,0,0,8.5,0,0,0,0,0,0,0
TS_0191,TS_0191,PT1,6.25,5.75,6.75,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0192,TS_0192,PT1,5.25,7.25,0,0,0,0,6.75,3.75,3.75,0,0,0,0,0,0,0,0,0,0,0
TS_0193,TS_0193,PT1,5.75,6.25,0,6.75,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0194,TS_0194,PT1,6.5,8.75,4.5,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0195,TS_0195,PT1,6.5,6.75,0,0,0,0,7.75,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
TS_0196,TS_0196,PT1,4.6,0,5.5,6.35,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0197,TS_0197,PT1,7.25,7.25,0,0,0,0,7.25,9.25,9.25,0,0,0,0,0,0,0,0,0,0,0
TS_0198,TS_0198,PT1,3.75,0,0,0,0,7.1,7.5,0,0,0,0,0,7.5,0,0,0,0,0,0,0
TS_0199,TS_0199,PT1,6.5,4.75,0,0,0,0,8.75,6.5,6.5,0,0,0,0,0,0,0,0,0,0,0
TS_0200,TS_0200,PT1,7.25,0,0,0,0,9.25,8.75,6,6,0,0,0,0,0,0,0,0,0,0,0
TS_0201,TS_0201,PT1,7.5,0,0,0,0,0,7.5,6.75,6.75,0,0,0,0,0,0,0,0,0,0,0
TS_0202,TS_0202,PT1,7,7.5,0,0,0,0,8.75,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0
TS_0203,TS_0203,PT1,5.25,7.5,0,0,0,0,6,7,7,0,0,0,0,0,0,0,0,0,0,0
TS_0204,TS_0204,PT1,8.6,6.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0205,TS_0205,PT1,7.25,6.75,0,0,0,0,6.25,4.75,4.75,0,0,0,0,0,0,0,0,0,0,0
TS_0206,TS_0206,PT1,3.35,4.5,3.45,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0207,TS_0207,PT1,2.5,0,0,0,6.75,0,5.25,0,0,0,0,0,8,0,0,0,0,0,0,0
TS_0208,TS_0208,PT1,3.85,6,0,0,0,0,6.75,8,8,0,0,0,0,0,0,0,0,0,0,0
TS_0209,TS_0209,PT1,6.5,6,6.75,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0210,TS_0210,PT1,5.75,0,0,0,0,6.5,5.75,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
TS_0211,TS_0211,PT1,4.6,0,0,0,0,6.1,7.25,5,5,0,0,0,0,0,0,0,0,0,0,0
TS_0212,TS_0212,PT1,4.5,0,0,0,8,0,7.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0
TS_0213,TS_0213,PT1,2.85,0,0,0,6,6,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0214,TS_0214,PT1,7.25,0,8.75,0,0,0,7,4.75,4.75,0,0,0,0,0,0,0,0,0,0,0
TS_0215,TS_0215,PT1,6,8,0,0,0,0,7,6.75,6.75,0,0,0,0,0,0,0,0,0,0,0
TS_0216,TS_0216,PT1,4.25,0,0,0,5.75,6.1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_0217,TS_0217,PT1,5.1,0,0,0,0,8.5,8.75,4.25,4.25,0,0,0,0,0,0,0,0,0,0,0
TS_0218,TS_0218,PT1,6.75,9.25,0,0,0,0,6.5,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0
TS_0219,TS_0219,PT1,6.75,6.85,0,0,0,0,7,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0
TS_0220,TS_0220,PT1,6,6.35,0,0,0,0,7.5,7,7,0,0,0,0,0,0,0,0,0,0,0
