cccd,sobaodanh,d_phuongthuc,TO,LI,HO,SI,SU,DI,VA,N1_THI,N1_CC,CNCN,CNNN,TI,KTPL,NL1,NK1,NK2,NK3,NK4,NK5,NK6
TS_12194,TS_12194,PT1,3.1,0,0,6.75,0,0,7.75,3.75,3.75,0,0,0,0,0,0,0,0,0,0,0
TS_12195,TS_12195,PT1,6.25,8.25,5.5,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12196,TS_12196,PT1,4.35,0,0,0,8.25,0,7.5,5,5,0,0,0,0,0,0,0,0,0,0,0
TS_12197,TS_12197,PT1,5.5,6,0,0,0,0,7,4.75,4.75,0,0,0,0,0,0,0,0,0,0,0
TS_12198,TS_12198,PT1,7.5,8,5.25,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12199,TS_12199,PT1,4.25,0,0,0,0,0,5.75,5.75,5.75,0,0,0,10,0,0,0,0,0,0,0
TS_12200,TS_12200,PT1,4.75,0,0,0,0,0,7.25,5.25,5.25,0,0,0,7.75,0,0,0,0,0,7,6.5
TS_12201,TS_12201,PT1,6,8,0,0,0,0,6.5,7.75,7.75,0,0,0,0,0,0,0,0,0,0,0
TS_12202,TS_12202,PT1,4.75,0,0,0,8.1,8.85,7,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12203,TS_12203,PT1,7.5,8.25,0,0,0,0,6.75,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0
TS_12204,TS_12204,PT1,5.6,0,0,0,0,8.25,7.5,5.5,5.5,0,0,0,0,0,0,0,0,0,0,0
TS_12205,TS_12205,PT1,4.6,0,0,0,0,6.25,7.75,0,0,0,0,0,6.5,0,0,0,0,0,0,0
TS_12206,TS_12206,PT1,8.5,8.5,0,0,0,0,7.5,8,8,0,0,0,0,0,0,0,0,0,0,0
TS_12207,TS_12207,PT1,6.5,0,0,0,8.5,9,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12208,TS_12208,PT1,5.6,0,0,0,9.25,9.5,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12209,TS_12209,PT1,3.7,0,0,0,7.5,0,6.25,0,0,0,0,0,7,0,0,0,0,0,0,0
TS_12210,TS_12210,PT1,8.25,0,8,0,0,0,8,5.75,5.75,0,0,0,0,0,0,0,0,0,0,0
TS_12211,TS_12211,PT1,7.5,9.75,0,0,0,0,7.25,7.5,7.5,0,0,0,0,0,0,0,0,0,0,0
TS_12212,TS_12212,PT1,7,7.75,4.45,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12213,TS_12213,PT1,6.25,7.75,0,0,0,0,6,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0
TS_12214,TS_12214,PT1,6.5,8.5,0,0,0,0,7.25,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0
TS_12215,TS_12215,PT1,4.85,4.85,3.85,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0
TS_12216,TS_12216,PT1,5.85,7.5,0,0,0,0,6.75,6,6,0,0,0,0,0,0,0,0,0,0,0
